HomeTeam,AwayTeam,Result Predicted,Away win %,Draw %,Home win %
Leicester,Burnley,D,17.59485531096468,60.05127126073096,22.353873428304365
Newcastle,Bournemouth,D,23.68320844121574,54.10896299876903,22.207828560015233
Southampton,Watford,D,21.85003250628576,54.05667798079281,24.09328951292143
Crystal Palace,Spurs,D,32.95303884073043,46.358133260348126,20.688827898921446
Liverpool,Fulham,D,15.3045869495405,66.63666773496277,18.058745315496715
Chelsea,Everton,D,16.24205008807363,64.78189282394055,18.976057087985804
Arsenal,Wolves,D,18.051650692919814,59.90042905066761,22.047920256412578
Man City,Man Utd,D,29.00656465889003,48.69113834182494,22.302296999285026
Brighton,Leicester,D,17.91879708707383,58.37638907473433,23.70481383819185
Everton,Cardiff,D,18.910202433668346,52.45246903126832,28.63732853506334
Fulham,Southampton,D,18.789938233709826,58.51025072465119,22.69981104163897
Man Utd,Crystal Palace,D,24.622051176111533,38.04223709973461,37.33571172415384
Watford,Liverpool,D,19.274093665385024,56.791781726216904,23.934124608398065
West Ham,Man City,D,25.83040302005481,53.59948369341444,20.57011328653075
Spurs,Chelsea,D,28.964192695009693,46.288822978503056,24.74698432648724
Bournemouth,Arsenal,D,19.281514322644874,63.81117556894842,16.907310108406705
Wolves,Huddersfield,D,18.15710115612955,62.513023360916634,19.329875482953817
Burnley,Newcastle,D,26.845034300286162,41.99313283360443,31.161832866109417
Cardiff,Wolves,D,26.538054196370673,52.738816750060515,20.723129053568798
Crystal Palace,Burnley,D,26.414873253250725,49.820862181652544,23.76426456509673
Huddersfield,Brighton,D,20.65271875497637,56.638947194281464,22.708334050742174
Leicester,Watford,D,17.140638848745866,55.18663171394438,27.672729437309762
Man City,Bournemouth,D,22.830893399524058,48.55253646225044,28.616570138225494
Newcastle,West Ham,D,21.6165472805982,57.362666385391016,21.02078633401078
Southampton,Man Utd,D,30.33657165699254,54.81685419065757,14.846574152349904
Chelsea,Fulham,D,15.18565031833718,64.95108666239521,19.863263019267606
Arsenal,Spurs,D,20.963375419310225,55.110126726912824,23.926497853776937
Liverpool,Everton,D,16.355443046609288,66.40698040981371,17.237576543577017
Bournemouth,Huddersfield,D,16.8472860322085,64.75936761324851,18.393346354542984
Brighton,Crystal Palace,D,22.166241447164452,52.022090550032416,25.811668002803135
West Ham,Cardiff,D,28.17085158888557,46.90488380280491,24.924264608309517
Watford,Man City,D,20.841230542685768,58.134370185852816,21.024399271461427
Burnley,Liverpool,D,23.462180952913645,49.60668534288037,26.93113370420599
Fulham,Leicester,D,24.49179933218301,50.42354227418762,25.08465839362938
